EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 30-12-2022
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : precipitation amount in 0.1 mm
23-27 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station POLAND, TERESPOL (STAID: 922).
Blended and updated with sources: 107319 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
107319,19790101,    0,    0
107319,19790102,   15,    0
107319,19790103,    0,    0
107319,19790104,    6,    0
107319,19790105,    0,    0
107319,19790106,    0,    0
107319,19790107,    0,    0
107319,19790108,   16,    0
107319,19790109,    0,    0
107319,19790110,   14,    0
107319,19790111,    0,    0
107319,19790112,   79,    0
107319,19790113,    0,    0
107319,19790114,   48,    0
107319,19790115,    0,    0
107319,19790116,   10,    0
107319,19790117,    0,    0
107319,19790118,    0,    0
107319,19790119,    0,    0
107319,19790120,    3,    0
107319,19790121,    0,    0
107319,19790122,    4,    0
107319,19790123,    0,    0
107319,19790124,   79,    0
107319,19790125,    0,    0
107319,19790126,    0,    0
107319,19790127,    0,    0
107319,19790128,  114,    0
107319,19790129,    0,    0
107319,19790130,  168,    0
107319,19790131,    0,    0
107319,19790201,    9,    0
107319,19790202,    0,    0
107319,19790203,    0,    0
107319,19790204,    0,    0
107319,19790205,    0,    0
107319,19790206,    0,    0
107319,19790207,    1,    0
107319,19790208,    0,    0
107319,19790209,    0,    0
107319,19790210,    0,    0
107319,19790211,    0,    0
107319,19790212,    0,    0
107319,19790213,    5,    0
107319,19790214,    0,    0
107319,19790215,    0,    0
107319,19790216,    0,    0
107319,19790217,    0,    0
107319,19790218,    0,    0
107319,19790219,    0,    0
107319,19790220,    0,    0
107319,19790221,    0,    0
107319,19790222,    0,    0
107319,19790223,    0,    0
107319,19790224,    0,    0
107319,19790225,    0,    0
107319,19790226,    0,    0
107319,19790227,    0,    0
107319,19790228,    0,    0
107319,19790301,    0,    0
107319,19790302,    0,    0
107319,19790303,   15,    0
107319,19790304,    0,    0
107319,19790305,    0,    0
107319,19790306,    0,    0
107319,19790307,    0,    0
107319,19790308,    0,    0
107319,19790309,    4,    0
107319,19790310,    0,    0
107319,19790311,    0,    0
107319,19790312,    0,    0
107319,19790313,   17,    0
107319,19790314,    0,    0
107319,19790315,    0,    0
107319,19790316,    0,    0
107319,19790317,   12,    0
107319,19790318,    0,    0
107319,19790319,   12,    0
107319,19790320,    0,    0
107319,19790321,    2,    0
107319,19790322,    0,    0
107319,19790323,   19,    0
107319,19790324,    0,    0
107319,19790325,    0,    0
107319,19790326,    0,    0
107319,19790327,    1,    0
107319,19790328,    0,    0
107319,19790329,    5,    0
107319,19790330,    0,    0
107319,19790331,   15,    0
107319,19790401,    0,    0
107319,19790402,    2,    0
107319,19790403,    0,    0
107319,19790404,    0,    0
107319,19790405,    0,    0
107319,19790406,    0,    0
107319,19790407,    0,    0
107319,19790408,    8,    0
107319,19790409,    0,    0
107319,19790410,    0,    0
107319,19790411,    0,    0
107319,19790412,    0,    0
107319,19790413,    0,    0
107319,19790414,    0,    0
107319,19790415,    0,    0
107319,19790416,    0,    0
107319,19790417,    0,    0
107319,19790418,    1,    0
107319,19790419,    0,    0
107319,19790420,    0,    0
107319,19790421,    0,    0
107319,19790422,    4,    0
107319,19790423,    0,    0
107319,19790424,    0,    0
107319,19790425,    0,    0
107319,19790426,   74,    0
107319,19790427,    0,    0
107319,19790428,    6,    0
107319,19790429,    0,    0
107319,19790430,   18,    0
107319,19790501,    0,    0
107319,19790502,   13,    0
107319,19790503,    0,    0
107319,19790504,    0,    0
107319,19790505,    0,    0
107319,19790506,   94,    0
107319,19790507,    0,    0
107319,19790508,    7,    0
107319,19790509,    0,    0
107319,19790510,    3,    0
107319,19790511,    0,    0
107319,19790512,    0,    0
107319,19790513,    0,    0
107319,19790514,    0,    0
107319,19790515,    0,    0
107319,19790516,    0,    0
107319,19790517,    0,    0
